file,battery,battery_central,curtailment,pv,sell_grid_power,solar_power,supply_grid_power,unmet_demand,Cluster
run_wm1e-05_wc0p1_wt0p9.nc,1716.5024459686601,4.085318875342825,573.6094719073249,1651.5693457071063,9.769897752127097,1199.9975553804984,400.00152713377315,6.048398772090628e-10,3
run_wm0p43333_wc0p03333_wt0p53333.nc,287.50237361389355,0.009605866106538448,792.6079188220174,807.4822465741474,0.010038498091105855,1199.9842237807395,191.6951906040219,0.0,1
run_wm0p03333_wc0p66667_wt0p3.nc,660.2291118082626,0.02616903767085832,725.287142991821,1385.6876337962167,0.0006218236515333638,1199.9946543068102,191.84089375360722,0.0,1
run_wm0p33333_wc0p6_wt0p06667.nc,321.5677981190568,4.309859800415787,786.4019287175363,1391.2330414158025,365.3025899570782,1199.9759982508947,191.6587810812527,0.0,0
run_wm0p36667_wc0p2_wt0p43333.nc,307.6649392606995,0.003419149804601225,781.2020373762791,893.3973280347727,0.0032758319485702713,1199.9959511956408,191.69919307036972,0.0,1
run_wm0p1_wc0p5_wt0p4.nc,434.6792193367197,0.0059647596463283424,770.8971041758539,1021.9026891275968,0.00011335089678030669,1199.9969629280276,191.76113245734493,0.0,1
run_wm0p36667_wc0p26667_wt0p36667.nc,307.66841164639237,0.004290095424158157,772.6902950928641,824.9112555518251,0.0038552126598406546,1199.994173423416,191.69664330164508,0.0,1
run_wm0p4_wc0p2_wt0p4.nc,299.5773743225576,0.002593929766381999,776.2810774653605,847.1405852274384,0.002527493790124296,1199.9983557554744,191.6981017544475,0.0,1
run_wm0p73333_wc0p06667_wt0p2.nc,192.62053992237676,0.000810784774994066,862.9172696274395,1257.115853445836,361.00068853976757,1199.9966064898172,385.92432262345665,0.0,0
run_wm0p06667_wc0p66667_wt0p26667.nc,542.454807448664,0.023883973509617563,756.6034216825317,1222.5776736882385,0.0004864984280720067,1199.9912865197768,191.78752420372004,0.0,1
run_wm0p66667_wc0p23333_wt0p1.nc,219.89181740908973,0.006998680174019648,862.9083393168103,1441.4969408158574,361.0057169541452,1199.9881961774918,399.96054659396924,0.0,0
run_wm0p06667_wc0p9_wt0p03333.nc,438.7043020186726,145.5686904352992,760.1084701701529,1257.1087506314002,145.571585723877,1199.9899875077722,191.79249939573796,0.0,1
run_wm0p6_wc0p36667_wt0p03333.nc,231.63160519986653,15.227654631665153,824.3911935105718,1464.5790268354147,376.22528579636065,1199.9835437009729,383.72020769148804,0.0,0
run_wm0p86667_wc0p06667_wt0p06667.nc,104.4441699814006,0.0009529092922138475,889.9194592384621,1234.839886213691,361.0009456832054,1199.9995072580186,288.22703209321423,0.0,0
run_wm0p33333_wc0p26667_wt0p4.nc,319.2088654204963,0.0015863443311350577,771.3340032697896,890.7801863744038,0.0014433538661038827,1199.998315870657,191.70018028179229,0.0,1
run_wm0p26667_wc0p06667_wt0p66667.nc,343.52031252565854,0.01848938220809301,780.7074903792965,960.0616272301867,0.017748268437243062,1199.9817298139915,399.9794001400857,0.0,2
run_wm0p26667_wc0p03333_wt0p7.nc,343.51638709903466,0.005198057340557601,779.5226042165972,912.6507681323712,0.005410379416218755,1199.9948599974157,399.9947578831446,0.0,2
run_wm0p1_wc0p63333_wt0p26667.nc,435.3036544121893,0.02964936543812573,768.3908865148935,1027.2934016102834,0.0007037942879629887,1199.984753505512,191.74374730435304,0.0,1
run_wm0p63333_wc0p2_wt0p16667.nc,225.28112277731233,0.00315164689129267,825.00583931353,1257.1041253954595,361.0013002209286,1199.9867733745957,359.12263683348334,0.0,0
run_wm0p1_wc0p26667_wt0p63333.nc,429.4607591661797,0.009124659373914995,768.7323955656457,1024.4328825123105,0.00017293172292056727,1199.9963134544316,399.99732303260106,0.0,2
run_wm0p06667_wc0p13333_wt0p8.nc,484.04950443227716,0.0048463020501386955,757.2168831758919,1105.8138707419223,0.00011026307808106456,1199.999330139812,399.99935967617586,0.0,2
run_wm0p1_wc0p86667_wt0p03333.nc,393.0711791434328,57.8058068330295,773.9588053446898,1045.636986722705,327.6554029962141,1199.9902935854839,191.73408075561835,0.0,1
run_wm0p5_wc0p16667_wt0p33333.nc,264.52511293162087,0.003975122234779715,788.4016346354489,715.6447483271916,0.003704171831190096,1199.9932175346796,191.64358447171588,0.0,1
run_wm0p23333_wc0p33333_wt0p43333.nc,362.29574215512383,0.00765552640420052,784.4080204582858,935.8092989468414,0.0003875423121167555,1199.9907720189558,191.70687882870888,0.0,1
run_wm0p26667_wc0p13333_wt0p6.nc,346.81132151903546,0.013066162660832506,779.0244275463199,947.8430228297631,0.012987041934257544,1199.9844892329986,364.7789330443365,0.0,2
run_wm0p43333_wc0p46667_wt0p1.nc,292.69601592458827,0.019853004581865973,795.6833440049415,1262.7214773112673,361.0171506633845,1199.9853444581954,400.0028774503944,0.0,0
run_wm0p4_wc0p6_wt1e-05.nc,189.04118004536238,170.73268796889252,699.385036682509,1383.4150457150986,531.7303480836704,1199.9948861389134,472.893552010314,0.0,0
run_wm0p53333_wc0p3_wt0p16667.nc,257.9834544260471,0.009595554755784962,797.002252708186,941.6406572570119,234.7199368937869,1199.9773142141378,378.55966512354377,0.0,2
run_wm0p5_wc0p23333_wt0p26667.nc,264.8297926541385,0.0013672755101662702,794.9842732675792,711.9288228476985,0.0014082614293147327,1199.9964010740366,289.0810864584666,0.0,1
run_wm0p1_wc0p13333_wt0p76667.nc,426.6657984199953,0.001918107164162367,746.101295619182,1076.705705759914,0.00022064415020206778,1199.9998135205335,399.9994752086586,0.0,2
run_wm0p1_wc0p56667_wt0p33333.nc,435.32397003206256,0.005952584643084547,768.4308757801589,1075.7651889900021,0.00011543365286535813,1199.9968625627698,191.7335903198283,0.0,1
run_wm0p43333_wc0p33333_wt0p23333.nc,288.58028125597497,0.005243670336727333,790.7920649112984,759.2396825489486,0.003932814102192422,1199.988079442459,191.65362188476232,0.0,1
run_wm0p16667_wc0p43333_wt0p4.nc,377.6129086487027,0.005434507026933027,773.4539177835395,968.6991421326986,0.00011831568526854713,1199.9964022781846,191.70767444664313,0.0,1
run_wm0p2_wc0p76667_wt0p03333.nc,325.5154393838713,62.635984053952846,745.6728329792952,1616.7190675685438,423.632455312201,1199.993770258254,191.70278306609492,0.0,0
run_wm0p66667_wc0p16667_wt0p16667.nc,217.45909860564234,0.012177264207013122,825.1758300587803,1257.0624420717656,361.0064252073682,1199.9518170003275,352.8500615721819,0.0,0
run_wm0p16667_wc0p76667_wt0p06667.nc,374.40075731478487,8.048811818273595,783.0078813943674,971.5922413506112,241.50470048352864,1199.9880666800782,191.7011216319032,0.0,1
run_wm0p2_wc0p33333_wt0p46667.nc,370.5956960160149,0.0038776405139378956,770.7085272955218,937.7299808432512,0.00011864787911263575,1199.9958227041661,191.72197030754498,0.0,1
